sno,name,category,price,image_url,description,stock
69,Rikhi Ram Sitar Classic,Sitar,18000,products/st2.jpeg,Handcrafted sitar with traditional jawari and fine woodwork.,8
70,Rode NT1-A,Condenser Microphone,18000,products/cm2.jpeg,A sensitive microphone ideal for vocals and instruments.,15
71,Roland Fantom-06,Keyboard Synthesizer,120000,products/ks2.jpeg,A versatile synth keyboard for stage and studio.,12
72,Roland FP-30X,Digital Piano,65000,products/dp3.jpeg,A versatile digital piano with realistic touch and tone.,18
73,Roland TD-1DMK,Electronic Drum Kit,55000,products/eds2.jpeg,A compact electronic drum kit with responsive pads.,18
74,Samson Carbon 61,MIDI Keyboard,18500,products/mk6.jpeg,Simple and affordable keyboard with plug-and-play connectivity.,15
75,Shree Lalita Concert Veena,Veena,35000,products/vn1.jpeg,Flamed maple back and antique finish for stage appeal.,18
76,Shure SM27,Condenser Microphone,28000,products/cm6.jpeg,A rugged condenser mic with a natural sound profile.,16
77,Sri Ganapathy Mridangam Deluxe,Mridangam,15800,products/mdg4.jpeg,Premium finish with excellent tonal balance.,13
78,Stentor Student II Violin 4/4,Violin,8700,products/v1.jpeg,Tuned in C# with excellent balance and clarity.,10
79,Stradivari Replica Violin,Violin,15500,products/v2.jpeg,Ideal for beginners with good tone and playability.,15
80,Subhash Bansuri Concert G Scale,Flute,3900,products/ft3.png,G-scale flute with rich tonal clarity and precise tuning.,15
81,Subramaniam Student Veena,Veena,19000,products/vn2.jpeg,Concert-grade veena with rich acoustic projection.,20
82,Swara Vani Electric Veena,Veena,41000,products/vn3.jpeg,Built for beginners with good sustain and balance.,12
83,Tama Imperialstar,Acoustic Drum Kit,37000,products/ads1.jpeg,A premium acoustic drum kit with high-quality components for studio and stage.,20
84,Tanjavur Mridangam Pro Classic,Mridangam,17500,products/mdg5.jpeg,Crafted in Tanjavur with traditional methods.,10
85,Taylor 214ce,Acoustic Guitar,10000,products/ag2.jpg,A beautifully crafted acoustic guitar with warm rich tones.,35
86,VOX VT20X,Guitar Amp,13800,products/ga6.jpeg,Modeling amp with tube sound and modern flexibility.,20
87,Waldorf Blofeld,Analog Synthesizer,42000,products/as4.jpeg,A rich-sounding compact synth with deep modulation options.,17
88,Yamaha DTX402K,Electronic Drum Kit,37000,products/eds1.jpeg,A compact electronic drum kit with responsive pads.,20
89,Yamaha FG800,Acoustic Guitar,2500,products/ag1.jpg,A beautifully crafted acoustic guitar with warm rich tones.,25
90,Yamaha HS7,Tabla,12500,products/tb1.jpeg,Balanced tone and handmade puddis for clear sound.,7
91,Yamaha MX49,Keyboard Synthesizer,58000,products/ks3.jpeg,A versatile synth keyboard for stage and studio.,20
92,Yamaha P-125,Digital Piano,45000,products/dp1.jpeg,A versatile digital piano with realistic touch and tone.,20
93,Yamaha TRBX304,Bass Guitar,36000,products/bg2.jpg,A modern bass with deep tone and smooth playability.,17
94,Yamaha V3SKA Violin Outfit,Violin,21000,products/v3.jpeg,Inspired by the Stradivarius design for warm tone.,10
